Date,Open,High,Low,Close,Volume
2010-01-04 05:00:00,109.82,110.14,109.31,109.8,16374981.0
2010-01-05 05:00:00,109.88,110.39,109.26,109.7,14317095.0
2010-01-06 05:00:00,110.71,111.77,110.4086,111.51,25047472.0
2010-01-07 05:00:00,111.07,111.29,110.62,110.82,13714151.0
2010-01-08 05:00:00,111.52,111.58,110.26,111.37,15976350.0
2010-01-11 05:00:00,113.34,113.59,112.52,112.85,17389900.0
2010-01-12 05:00:00,112.38,113.05,110.14,110.49,29274034.0
2010-01-13 05:00:00,110.92,111.57,109.57,111.54,20056269.0
2010-01-14 05:00:00,111.51,112.37,110.79,112.03,18376359.0
2010-01-15 05:00:00,111.35,112.01,110.38,110.86,18070592.0
2010-01-19 05:00:00,110.95,111.75,110.83,111.52,10608593.0
2010-01-20 05:00:00,109.97,110.05,108.46,108.94,17639200.0
2010-01-21 05:00:00,108.48,108.78,106.61,107.37,25828371.0
2010-01-22 05:00:00,106.93,107.68,106.01,107.17,24135560.0
2010-01-25 05:00:00,107.44,107.72,107.07,107.48,13290403.0
2010-01-26 05:00:00,106.87,107.99,106.75,107.56,12372070.0
2010-01-27 05:00:00,107.53,108.8,106.16,106.528,19083453.0
2010-01-28 05:00:00,107.18,107.23,105.18,106.48,16861220.0
2010-01-29 05:00:00,105.88,106.3,105.27,105.96,20278850.0
2010-02-01 05:00:00,106.64,108.48,106.37,108.35,15000708.0
2010-02-02 05:00:00,109.16,109.6,108.61,109.13,14401255.0
2010-02-03 05:00:00,109.1,109.54,108.4305,108.7,13448859.0
2010-02-04 05:00:00,106.79,106.8,103.75,104.37,40082250.0
2010-02-05 05:00:00,103.76,104.68,102.28,104.68,32814474.0
2010-02-08 05:00:00,104.41,105.14,104.0,104.04,17289433.0
2010-02-09 05:00:00,105.18,106.15,104.87,105.41,26056563.0
2010-02-10 05:00:00,105.13,105.5,104.11,105.12,16350305.0
2010-02-11 05:00:00,105.58,107.56,105.27,107.13,19392297.0
2010-02-12 05:00:00,106.08,107.1,105.57,107.04,14521842.0
2010-02-16 05:00:00,109.45,109.87,109.1,109.62,21009586.0
2010-02-17 05:00:00,109.66,110.01,108.87,109.25,19666197.0
2010-02-18 05:00:00,109.61,110.11,109.19,109.98,19228440.0
2010-02-19 05:00:00,109.3,110.39,108.81,109.47,22040779.0
2010-02-22 05:00:00,109.86,109.97,108.66,109.07,10494844.0
2010-02-23 05:00:00,108.84,108.91,107.65,107.89,13681057.0
2010-02-24 05:00:00,107.33,108.16,107.1,107.36,17339217.0
2010-02-25 05:00:00,106.7,108.7,106.6,108.31,23553177.0
2010-02-26 05:00:00,108.89,109.6,108.41,109.43,13135140.0
2010-03-01 05:00:00,109.48,109.9,108.97,109.43,12945704.0
2010-03-02 05:00:00,109.86,111.45,109.86,111.02,20079999.0
2010-03-03 05:00:00,111.46,112.18,111.1763,111.63,16335304.0
2010-03-04 05:00:00,111.25,111.37,110.22,110.83,13015223.0
2010-03-05 05:00:00,111.13,111.75,110.8,110.81,11120008.0
2010-03-08 05:00:00,111.22,111.3,109.52,109.88,12731636.0
2010-03-09 05:00:00,109.16,110.16,109.04,109.718,12706347.0
2010-03-10 05:00:00,109.94,110.5,108.02,108.47,22048867.0
2010-03-11 05:00:00,108.28,108.65,107.86,108.6,9589718.0
2010-03-12 05:00:00,108.56,108.77,107.45,107.95,11922080.0
2010-03-15 04:00:00,108.16,108.56,107.82,108.36,7752661.0
2010-03-16 04:00:00,110.02,110.57,109.7,110.4,17827256.0
2010-03-17 04:00:00,110.18,110.46,109.55,109.59,13732180.0
2010-03-18 04:00:00,110.1,110.61,109.5,110.34,13899419.0
2010-03-19 04:00:00,110.26,110.29,107.85,108.28,24168459.0
2010-03-22 04:00:00,107.31,108.0,106.95,107.75,11662846.0
2010-03-23 04:00:00,107.5,108.5,107.34,108.32,11324571.0
2010-03-24 04:00:00,106.94,107.07,106.24,106.3,14352318.0
2010-03-25 04:00:00,107.0,107.25,106.48,106.78,16957982.0
2010-03-26 04:00:00,107.16,108.7,106.82,108.59,17444952.0
2010-03-29 04:00:00,108.87,109.17,108.4,108.75,11590705.0
2010-03-30 04:00:00,108.57,108.6615,107.87,107.97,9836775.0
2010-03-31 04:00:00,109.44,109.5,108.85,108.95,14066288.0
2010-04-01 04:00:00,109.97,110.47,109.92,110.26,11463318.0
2010-04-05 04:00:00,110.56,110.9837,110.27,110.89,8275720.0
2010-04-06 04:00:00,110.89,111.51,110.83,111.03,10416683.0
2010-04-07 04:00:00,111.85,112.93,111.77,112.49,19184883.0
2010-04-08 04:00:00,112.47,112.98,112.13,112.65,12525383.0
2010-04-09 04:00:00,113.09,114.07,112.74,113.64,16240819.0
2010-04-12 04:00:00,113.64,114.13,112.98,113.01,11302638.0
2010-04-13 04:00:00,113.12,113.16,112.06,112.69,11333657.0
2010-04-14 04:00:00,113.23,113.66,112.78,113.03,10626479.0
2010-04-15 04:00:00,112.9,113.71,112.85,113.65,11046395.0
2010-04-16 04:00:00,112.5,113.07,110.54,111.24,24631789.0
2010-04-19 04:00:00,110.8801,111.36,110.67,111.15,8075529.0
2010-04-20 04:00:00,111.73,112.21,111.33,111.46,7069716.0
2010-04-21 04:00:00,111.82,112.64,111.48,112.31,6898856.0
2010-04-22 04:00:00,111.79,112.01,110.76,111.84,9655263.0
2010-04-23 04:00:00,111.26,113.3,111.09,113.19,12568527.0
2010-04-26 04:00:00,112.88,113.2,112.63,112.75,8253131.0
2010-04-27 04:00:00,112.43,114.82,112.34,114.63,25129995.0
2010-04-28 04:00:00,114.03,114.99,113.63,114.31,27037594.0
2010-04-29 04:00:00,113.85,114.52,113.84,114.28,10461469.0
2010-04-30 04:00:00,115.26,115.7,115.21,115.36,13574046.0
2010-05-03 04:00:00,115.91,116.28,115.53,115.73,13649375.0
2010-05-04 04:00:00,116.39,116.43,114.17,114.87,21615733.0
2010-05-05 04:00:00,113.58,115.24,113.312,115.09,21730238.0
2010-05-06 04:00:00,115.62,118.62,115.57,118.486,50549239.0
2010-05-07 04:00:00,117.64,118.88,116.74,118.27,34653989.0
2010-05-10 04:00:00,117.5,117.9,116.8101,117.57,28615761.0
2010-05-11 04:00:00,119.46,120.87,118.97,120.656,37070983.0
2010-05-12 04:00:00,121.28,122.235,120.7685,121.4,33059795.0
2010-05-13 04:00:00,121.29,121.71,120.1,120.56,22406982.0
2010-05-14 04:00:00,121.88,122.02,119.12,120.37,34772062.0
2010-05-17 04:00:00,120.55,121.12,119.29,119.36,28068685.0
2010-05-18 04:00:00,118.86,120.32,118.5,119.49,26805036.0
2010-05-19 04:00:00,118.19,118.43,116.08,116.63,34620886.0
2010-05-20 04:00:00,116.14,116.95,115.18,115.84,29093050.0
2010-05-21 04:00:00,115.05,116.24,114.51,115.22,20274265.0
2010-05-24 04:00:00,116.34,117.17,116.04,116.84,14465378.0
2010-05-25 04:00:00,117.16,117.52,116.82,117.36,21450093.0
2010-05-26 04:00:00,118.58,119.08,118.32,118.47,13121176.0
2010-05-27 04:00:00,118.16,119.038,118.14,118.69,10545002.0
2010-05-28 04:00:00,118.48,118.9,117.63,118.881,11582187.0
2010-06-01 04:00:00,119.88,120.25,119.63,119.91,12333763.0
2010-06-02 04:00:00,119.35,119.88,118.72,119.78,10438952.0
2010-06-03 04:00:00,119.16,119.39,117.48,117.96,13964502.0
2010-06-04 04:00:00,117.96,119.39,117.05,119.19,16589350.0
2010-06-07 04:00:00,118.73,121.8,118.62,121.49,20331961.0
2010-06-08 04:00:00,121.61,122.45,120.66,121.0025,23407928.0
2010-06-09 04:00:00,120.48,120.99,119.51,120.56,13029410.0
2010-06-10 04:00:00,119.36,120.04,118.83,118.975,13780517.0
2010-06-11 04:00:00,119.88,120.41,119.33,120.01,7830520.0
2010-06-14 04:00:00,119.63,120.26,118.96,119.6,11159251.0
2010-06-15 04:00:00,119.71,121.03,119.48,120.99,15144493.0
2010-06-16 04:00:00,120.68,120.89,120.04,120.33,10567832.0
2010-06-17 04:00:00,121.6398,122.41,121.49,121.9,19869579.0
2010-06-18 04:00:00,123.04,123.5,122.81,122.83,19541788.0
2010-06-21 04:00:00,123.09,123.11,120.36,120.39,20148203.0
2010-06-22 04:00:00,121.16,121.59,120.87,121.45,13004480.0
2010-06-23 04:00:00,120.89,121.02,119.77,120.95,14079495.0
2010-06-24 04:00:00,120.76,122.1601,120.67,121.3,13242034.0
