Date,c
2019-01-01,14.56
2019-01-02,14.75
2019-01-03,14.73
2019-01-04,14.67
2019-01-05,14.69
2019-01-06,14.78
2019-01-07,14.6
2019-01-08,14.64
2019-01-09,14.66
2019-01-10,14.6
2019-01-11,14.63
2019-01-12,14.57
2019-01-13,14.37
2019-01-14,14.39
2019-01-15,14.42
2019-01-16,14.36
2019-01-17,14.74
2019-01-18,14.79
2019-01-19,14.88
2019-01-20,15.05
2019-01-21,15.05
2019-01-22,14.92
2019-01-23,14.88
2019-01-24,14.87
2019-01-25,14.68
2019-01-26,14.77
2019-01-27,14.83
2019-01-28,14.72
2019-01-29,14.73
2019-01-30,14.59
2019-01-31,14.65
2019-02-01,14.82
2019-02-02,15.02
2019-02-03,15.07
2019-02-04,14.83
2019-02-05,14.95
2019-02-06,14.9
2019-02-07,14.94
2019-02-08,14.75
2019-02-09,14.63
2019-02-10,14.2
2019-02-11,14.15
2019-02-12,14.2
2019-02-13,14.15
2019-02-14,14.09
2019-02-15,14.41
2019-02-16,14.37
2019-02-17,14.48
2019-02-18,14.51
2019-02-19,14.24
2019-02-20,14.33
2019-02-21,14.39
2019-02-22,14.4
2019-02-23,14.54
2019-02-24,14.5
2019-02-25,14.45
2019-02-26,14.56
2019-02-27,14.47
2019-02-28,14.32
2019-03-01,14.07
2019-03-02,14.18
2019-03-03,14.15
2019-03-04,14.16
2019-03-05,14.2
2019-03-06,14.22
2019-03-07,14.17
2019-03-08,14.31
2019-03-09,14.28
2019-03-10,14.28
2019-03-11,14.02
2019-03-12,14.05
2019-03-13,14.06
2019-03-14,14.07
2019-03-15,14.05
2019-03-16,14.06
2019-03-17,14.08
2019-03-18,13.91
2019-03-19,14.0
2019-03-20,14.0
2019-03-21,14.1
2019-03-22,13.99
2019-03-23,14.02
2019-03-24,13.75
2019-03-25,13.71
2019-03-26,13.96
2019-03-27,13.98
2019-03-28,13.98
2019-03-29,13.89
2019-03-30,13.83
2019-03-31,13.84
2019-04-01,13.84
2019-04-02,13.86
2019-04-03,13.85
2019-04-04,13.65
2019-04-05,13.52
2019-04-06,13.55
2019-04-07,13.53
2019-04-08,13.54
2019-04-09,13.68
2019-04-10,13.65
2019-04-11,13.46
2019-04-12,13.52
2019-04-13,13.6
2019-04-14,13.65
2019-04-15,13.87
2019-04-16,13.89
2019-04-17,13.88
2019-04-18,13.92
2019-04-19,14.06
2019-04-20,13.78
2019-04-21,13.81
2019-04-22,13.84
2019-04-23,13.96
2019-04-24,13.91
2019-04-25,13.9
2019-04-26,14.05
2019-04-27,14.17
2019-04-28,14.45
2019-04-29,14.36
2019-04-30,14.46
2019-05-01,14.38
2019-05-02,14.32
2019-05-03,14.28
2019-05-04,14.33
2019-05-05,14.18
2019-05-06,14.29
2019-05-07,14.32
2019-05-08,14.06
2019-05-09,14.05
2019-05-10,14.14
2019-05-11,14.26
2019-05-12,14.17
2019-05-13,14.26
2019-05-14,14.42
2019-05-15,14.54
2019-05-16,14.94
2019-05-17,15.29
2019-05-18,15.17
2019-05-19,15.35
2019-05-20,15.34
2019-05-21,15.52
2019-05-22,15.36
2019-05-23,15.31
2019-05-24,15.4
2019-05-25,15.5
2019-05-26,15.21
2019-05-27,15.34
2019-05-28,15.19
2019-05-29,15.33
2019-05-30,15.38
2019-05-31,15.97
2019-06-01,15.89
2019-06-02,15.89
2019-06-03,15.99
